Geneid	Chr	Start	End	Strand	Length	hgnc_symbol	percentage_gc_content	transcript_start	transcript_end	transcript_biotype	strand	geneName	Chrom	geneStart	geneEnd
ENSG00000251661	chr11;chr11	318640;319357	318746;319615	+;+	366		55.65	318640	319615	antisense	1	ENSG00000251661	chr11	318640	325631
ENSG00000142089	chr11;chr11;chr11;chr11	319669;320113;320565;321224	319990;320248;321050;321340	-;-;-;-	1061	IFITM3	54.34	319669	321050	protein_coding	-1	IFITM3	chr11	327537	319669
ENSG00000255089	chr11;chr11	321991;322380	322223;322426	+;+	280		55.28	321991	322426	antisense	1	ENSG00000255089	chr11	321991	322426
ENSG00000255328	chr11;chr11;chr11	327171;329104;329983	327957;329453;330122	+;+;+	1277		49.29	327171	329453	lincRNA	1	ENSG00000255328	chr11	327171	330122
ENSG00000182272	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	369796;372109;372662;372852;373026;373191;373449;373750;375461;375639;376074;376251;376421;379418;379866;380101;380292;380671;381669	369954;372212;372807;372947;373116;373291;373516;373828;375527;375956;376174;376351;377327;379701;380019;380202;380445;380951;382116	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3761	B4GALNT4	65.98	369796	372807	retained_intron	1	B4GALNT4	chr11	369796	382116
ENSG00000184363	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	392614;393449;394145;394217;396151;396608;397539;398992;399967;400334;400535;403078;403618;403943;404236	392708;393534;394183;394524;396339;397445;397776;399196;400260;400451;400705;403263;403771;404135;404908	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3787	PKP3	69.71	392614	397198	protein_coding	1	PKP3	chr11	392614	404908
ENSG00000185187	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	405716;407233;407817;408073;408695;409217;409466;414823;417294	407195;407568;407957;408206;409101;409308;410027;415004;417455	-;-;-;-;-;-;-;-;-	3496	SIGIRR	65.22	405716	406370	protein_coding	-1	SIGIRR	chr11	417455	405716
ENSG00000185101	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	417933;418720;419582;420929;421141;428088;428358;428475;428722;429474;430269;431694;433815;434024;441921	418589;419415;420860;421042;421286;428199;428394;428639;428826;430179;430403;433459;433937;434098;442011	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6207	ANO9	59.43	417933	429758	retained_intron	-1	ANO9	chr11	442011	417933
ENSG00000243562	chr11	440406	440693	-	288	RN7SL838P	61.11	440406	440693	misc_RNA	-1	RN7SL838P	chr11	440693	440406
ENSG00000174915	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	448268;450280;451352;458674;473895;479085;480125;486939;487239;488199;488529;489350;489588;489791;490420	448419;450637;451493;461051;473977;479445;480594;487073;487470;488312;488647;489514;489733;490068;491393	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6107	PTDSS2	56.05	448268	487053	processed_transcript	1	PTDSS2	chr11	448268	491393
ENSG00000255237	chr11;chr11	462930;463348	463041;463899	-;-	664		49.38	462930	463899	antisense	-1	ENSG00000255237	chr11	463899	462930
ENSG00000023191	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	494512;497971;498457;498763;499015;500847;504427;504824;506078;506609;507113	495053;498141;498627;498933;500738;503570;504552;505881;506356;506821;507300	-;-;-;-;-;-;-;-;-;-;-	7367	RNH1	60.36	494512	503570	protein_coding	-1	RNH1	chr11	507300	494512
ENSG00000254739	chr11;chr11	528907;529154	528947;529659	+;+	547		62.42	528907	529659	antisense	1	ENSG00000254739	chr11	528907	529659
ENSG00000174775	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	532242;533277;533453;533766;534212;534518;535257;535416;536853	532755;533358;533612;533976;534375;534587;535339;535550;537287	-;-;-;-;-;-;-;-;-	1854	HRAS	69.01	532242	533612	processed_transcript	-1	HRAS	chr11	537287	532242
ENSG00000161328	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	537527;538598;539580;540674;541537;544720;549902;550072;551131;551651;551903;552090;552569;553963	537605;538860;539726;540861;541624;544780;549998;550272;551302;551827;551967;552232;552702;554916	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2769	LRRC56	59.96	537527	554916	protein_coding	1	LRRC56	chr11	537527	554916
ENSG00000185522	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	554855;555305;555996;556192;556492;556835;557399;557572;557884;558161;558476;558856;559347;559969;560683	555111;555930;556115;556420;556588;557097;557487;557640;558039;558248;558784;559062;559498;560143;560779	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2934	C11orf35	67.09	554855	556420	retained_intron	-1	C11orf35	chr11	560779	554855
ENSG00000254815	chr11;chr11	557595;559779	559683;560107	+;+	2418		63.07	557595	560106	antisense	1	ENSG00000254815	chr11	557595	560107
ENSG00000099849	chr11;chr11;chr11;chr11;chr11;chr11	560404;560956;561052;561547;562079;563189	560514;561033;561477;561892;562776;564021	+;+;+;+;+;+	2492	RASSF7	69.15	560404	563993	protein_coding	1	RASSF7	chr11	560404	564021
ENSG00000247095	chr11;chr11	565660;568331	567853;568457	-;-	2321	MIR210HG	61.54	565660	568420	lincRNA	-1	MIR210HG	chr11	568457	565660
ENSG00000199038	chr11	568089	568198	-	110	MIR210	72.73	568089	568198	miRNA	-1	MIR210	chr11	568198	568089
ENSG00000254474	chr11	568089	568198	-	110	NA	NA	NA	NA	NA	NA	ENSG00000254474	chr11	NA	NA
ENSG00000070047	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	576486;581492;587259;591384;592035;596923;597395;598373;601574;605119;605605;606442;607066;610196;610501;610954;611634	576592;582081;588497;591467;592674;597020;597570;598502;601701;605300;605724;606842;609720;610347;610761;611082;612222	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7681	PHRF1	56.31	576486	612043	nonsense_mediated_decay	1	PHRF1	chr11	576486	612222
ENSG00000185507	chr11;chr11;chr11;chr11;chr11	612553;612999;613785;614783;615913	612800;613595;614534;615728;615999	-;-;-;-;-	2628	IRF7	67.07	612553	615626	protein_coding	-1	IRF7	chr11	615999	612553
ENSG00000099834	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	616565;617954;618599;619306;619416;619681;620067;620296;621080;621345;621562;621812;624213;624557;624818;626021	617770;618111;619180;619390;619587;619881;620164;620386;621263;621455;621663;621904;624416;624732;625169;626078	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3873	CDHR5	63.04	616577	626078	protein_coding	-1	CDHR5	chr11	626078	616565
ENSG00000070031	chr11;chr11;chr11;chr11	626431;626697;626888;627073	626530;626789;626989;627143	-;-;-;-	366	SCT	73.35	626431	627143	protein_coding	-1	SCT	chr11	627143	626431
ENSG00000069696	chr11;chr11;chr11;chr11;chr11	637293;639057;639433;639648;640401	637589;639158;639545;640306;640706	+;+;+;+;+	1477	DRD4	67.02	637293	640706	protein_coding	1	DRD4	chr11	637293	640706
ENSG00000177030	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	644233;646327;651162;653941;654615;674372;678694;679688;679978;680963;684898;686858;687911;688331;689663;691501;692250;693489;694679;697608;706572	644654;646596;651407;654051;654656;674783;678822;679816;680074;681089;684971;686997;688057;688460;689813;691598;692350;693644;695532;697999;706715	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4372	DEAF1	53.21	644233	687936	nonsense_mediated_decay	-1	DEAF1	chr11	706715	644233
ENSG00000255158	chr11;chr11;chr11	665910;673998;678323	666490;674259;678391	+;+;+	912		48.91	665910	678391	antisense	1	ENSG00000255158	chr11	665910	678391
ENSG00000177106	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	694438;705217;706113;706595;708564;709330;709553;720062;720549;720830;720972;721565;722673;723241;724562;725728;726081;726561;726901	694475;705454;706288;706813;709021;709451;710486;720223;720746;720909;721352;722584;722874;723353;724829;725847;726484;726751;727727	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6151	EPS8L2	59.66	694438	720212	protein_coding	1	EPS8L2	chr11	694438	727727
ENSG00000177042	chr11;chr11;chr11;chr11;chr11	695616;698869;700615;702945;704442	695846;700235;701127;704129;705028	+;+;+;+;+	3883	TMEM80	55.65	695616	703412	protein_coding	1	TMEM80	chr11	695428	705028
ENSG00000177156	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	747329;752264;755744;758950;760122;763344;763747;763982;764813	747578;752473;756284;759057;760965;763520;763944;764446;765024	+;+;+;+;+;+;+;+;+	3005	TALDO1	52.03	747329	765024	protein_coding	1	TALDO1	chr11	747329	765024
ENSG00000177225	chr11;chr11;chr11;chr11;chr11;chr11;chr11	767220;772427;773330;774008;775065;776680;777399	771467;772614;773629;774113;775142;777179;777501	-;-;-;-;-;-;-	5523	PDDC1	60.25	767220	771427	protein_coding	-1	PDDC1	chr11	777488	767220
ENSG00000255284	chr11;chr11;chr11	777578;778113;783530	777695;778285;784297	+;+;+	1059		59.11	777578	778285	processed_transcript	1	ENSG00000255284	chr11	777578	784297
ENSG00000177236	chr11;chr11;chr11	780117;780157;780669	780155;780666;780755	+;+;+	636		60.09	780117	780755	pseudogene	1	ENSG00000177236	chr11	780117	780755
ENSG00000255142	chr11;chr11	781645;781928	781750;782105	+;+	284		59.44	781645	782105	antisense	1	ENSG00000255142	chr11	781645	782105
ENSG00000184524	chr11;chr11	787104;790030	788658;790123	-;-	1649	CEND1	66.23	787104	790123	protein_coding	-1	CEND1	chr11	790123	787104
ENSG00000177542	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	790475;792142;792304;792553;792870;793478;793905;794776;794987;795340;795513;796043;797612;798217	792068;792217;792458;792727;792988;793619;794588;794901;795336;795458;795705;796361;797998;798316	-;-;-;-;-;-;-;-;-;-;-;-;-;-	4539	SLC25A22	65.63	790475	796361	protein_coding	-1	SLC25A22	chr11	798316	790475
ENSG00000177595	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	799180;800333;800543;800762;801218;801445;802195;802543;802682;805179;805777;809412	800244;800451;800666;801120;801365;802090;802396;802597;805103;805245;806095;809753	-;-;-;-;-;-;-;-;-;-;-;-	5868	PIDD	62.59	799179	804675	nonsense_mediated_decay	-1	PIDD	chr11	809753	799179
ENSG00000177600	chr11;chr11;chr11;chr11;chr11	809647;810398;811372;812079;812760	810357;810497;811839;812633;812880	+;+;+;+;+	1955	RPLP2	57.05	809647	812875	protein_coding	1	RPLP2	chr11	809647	812880
ENSG00000199785	chr11	811681	811814	+	134	SNORA52	60.45	811681	811814	snoRNA	1	SNORA52	chr11	811681	811814
ENSG00000177666	chr11;chr11;chr11;chr11;chr11;chr11;chr11	818902;819574;820835;821958;823527;824314;824523	818958;819905;821860;822606;824130;824437;825573	+;+;+;+;+;+;+	3843	PNPLA2	64.55	818902	825573	protein_coding	1	PNPLA2	chr11	818902	825573
ENSG00000255108	chr11;chr11;chr11;chr11	823634;824390;830565;832712	823863;824645;830698;832883	-;-;-;-	792		66.34	823634	832883	antisense	-1	ENSG00000255108	chr11	832883	823634
ENSG00000177685	chr11;chr11;chr11;chr11;chr11;chr11	826144;827248;827578;828230;828852;831535	826266;827459;827711;828772;831295;831991	+;+;+;+;+;+	3913	EFCAB4A	66.16	826144	828711	protein_coding	1	EFCAB4A	chr11	826144	831991
ENSG00000177697	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	832843;833988;834458;834872;835194;835551;837460;837942;838133;839656	833026;834067;834803;835139;835324;837354;837618;838028;838835;839831	+;+;+;+;+;+;+;+;+;+	3938	CD151	63.43	832843	838829	protein_coding	1	CD151	chr11	832843	839831
ENSG00000177700	chr11;chr11;chr11	837356;839721;842414	837605;840480;842545	-;-;-	1142	POLR2L	61.14	837356	842529	nonsense_mediated_decay	-1	POLR2L	chr11	842545	837356
ENSG00000214063	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	842808;842941;843315;844081;844446;847170;848810;849816;862297;862345;865918;866562	842915;843050;843729;844186;844587;847300;848933;850367;862329;865825;866001;867116	+;+;+;+;+;+;+;+;+;+;+;+	5841	TSPAN4	65.01	842808	867111	protein_coding	1	TSPAN4	chr11	842808	867116
ENSG00000250397	chr11;chr11	856880;859547	858691;859795	-;-	2061		63.79	856880	859795	antisense	-1	ENSG00000250397	chr11	859795	856880
ENSG00000177830	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	867357;867860;870121;870419;874722;882328;882980;884068;893427;899340;900004;900936;902148;902962;903656;904701;908215;908542;910641;914304	867578;869956;870163;870751;874910;882515;883303;884169;893519;899401;900110;900980;902330;903111;903778;904923;908296;908664;911461;915058	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6265	CHID1	59.33	868395	870486	nonsense_mediated_decay	-1	CHID1	chr11	915058	867357
ENSG00000183020	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	924894;925870;932693;933561;940735;942279;943100;946461;956786;959437;970169;972062;977095;981198;983146;988552;992503;993284;993754;994072;996064;1000432;1001326;1003667;1006528;1009328;1009683	924937;926088;932777;933597;940894;942394;943314;946963;956982;959505;970311;972255;977224;982777;987654;988827;992685;993381;993985;994245;996225;1000598;1001444;1003804;1009216;1009397;1012239	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	15066	AP2A2	53.1	924894	977193	processed_transcript	1	AP2A2	chr11	1000432	996225
ENSG00000222561	chr11	948421	948524	+	104	RNU6-1025P	36.54	948421	948524	snRNA	1	RNU6-1025P	chr11	948421	948524
ENSG00000264671	chr11	951295	951364	-	70		54.29	951295	951364	miRNA	-1	ENSG00000264671	chr11	951364	951295
ENSG00000184956	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	1012821;1013796;1015762;1019275;1019905;1020684;1021215;1023509;1023947;1024844;1025182;1025805;1026000;1026327;1026941;1027141;1027268;1027685;1027965;1028226;1028646;1028889;1029046;1029228;1029495;1030213;1030573;1030947;1031169;1031607;1031813;1033013;1036604	1013633;1014001;1018770;1019496;1020257;1020734;1021277;1023652;1024103;1025083;1025367;1025915;1026141;1026478;1027050;1027193;1027517;1027817;1028059;1028387;1028783;1028961;1029150;1029366;1029615;1030335;1030780;1031056;1031259;1031733;1032053;1033209;1036706	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8428	MUC6	63.41	1012821	1036706	protein_coding	-1	MUC6	chr11	1036706	1012821
ENSG00000254872	chr11;chr11;chr11	1049880;1051623;1052611	1049962;1051843;1055749	+;+;+	3443		65.22	1049880	1055284	lincRNA	1	ENSG00000254872	chr11	1049880	1055284
ENSG00000198788	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	1074875;1075651;1077598;1078096;1078267;1078456;1079658;1080281;1080477;1080874;1081073;1081421;1081649;1082287;1082588;1083064;1083550;1083741;1084242;1084731;1085744;1085936;1086247;1087445;1087878;1088700;1088966;1090337;1090782;1091472;1092080;1094665;1095131;1095664;1096325;1097182;1097689;1098641;1099211;1099419;1099764;1100994;1101558;1101912;1102081;1102456;1103189;1103555;1103809;1104044	1074977;1075921;1077712;1078186;1078376;1078666;1079783;1080398;1080615;1080984;1081142;1081558;1081813;1082381;1082714;1083319;1083602;1083841;1084393;1084869;1085854;1086115;1086486;1087601;1088009;1088847;1089012;1090380;1090985;1091489;1093933;1094862;1095354;1095838;1096572;1097365;1097917;1098828;1099280;1099519;1099795;1101171;1101662;1101952;1102203;1102554;1103317;1103594;1103935;1104419	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8693	MUC2	63.82	1074875	1104419	protein_coding	1	MUC2	chr11	1074875	1104419
